age, man, woman
8, 0.02, 0.02
9, 0.02, 0.02
10, 0, 0
11, 0.03, 0.03
12, 0.03, 0.03
13, 0.04, 0.04
14, 0.09, 0.09
15, 0.15, 0.15
16, 0.15, 0.15
17, 0.12, 0.12
18, 0.26, 0.26
19, 0.2, 0.2
20, 0.18, 0.18
21, 0.25, 0.25
22, 0.21, 0.21
23, 0.42, 0.42
24, 0.39, 0.39
25, 0.53, 0.53
26, 0.51, 0.51
27, 0.58, 0.58
28, 0.49, 0.49
29, 0.65, 0.65
30, 0.71, 0.71
31, 0.7, 0.7
32, 0.94, 0.94
33, 1.1, 1.1
34, 1.11, 1.11
35, 1.3, 1.3
36, 1.25, 1.25
37, 1.26, 1.26
38, 1.41, 1.41
39, 1.25, 1.25
40, 1.54, 1.54
41, 1.75, 1.75
42, 1.68, 1.68
43, 2.05, 2.05
44, 1.91, 1.91
45, 2.14, 2.14
46, 2.16, 2.16
47, 2.34, 2.34
48, 2.17, 2.17
49, 2.48, 2.48
50, 2.59, 2.59
51, 2.35, 2.35
52, 2.1, 2.1
53, 2.56, 2.56
54, 2.41, 2.41
55, 2.47, 2.47
56, 2.5, 2.5
57, 2.42, 2.42
58, 2.39, 2.39
59, 2.46, 2.46
60, 2.73, 2.73
61, 2.25, 2.25
62, 2.38, 2.38
63, 2.17, 2.17
64, 2.05, 2.05
65, 2, 2
66, 1.88, 1.88
67, 1.95, 1.95
68, 2.01, 2.01
69, 1.87, 1.87
70, 1.56, 1.56
71, 1.7, 1.7
72, 1.51, 1.51
73, 1.28, 1.28
74, 1.27, 1.27
75, 0.99, 0.99
76, 1.08, 1.08
77, 0.92, 0.92
78, 1.07, 1.07
79, 0.92, 0.92
80, 0.74, 0.74
81, 0.68, 0.68
82, 0.54, 0.54
83, 0.49, 0.49
84, 0.46, 0.46
85, 0.37, 0.37
86, 0.4, 0.4
87, 0.39, 0.39
88, 0.31, 0.31
89, 0.27, 0.27
90, 0.19, 0.19
91, 0.09, 0.09
92, 0.11, 0.11
93, 0.12, 0.12
94, 0.12, 0.12
95, 0.05, 0.05
96, 0.04, 0.04
97, 0.03, 0.03
98, 0.06, 0.06
99, 0.02, 0.02
100, 0.02, 0.02
